Group,Name,Language,SourceID,Level1 Id,Level2 Id,Level3 Id,Level4 Id,Analyzed [y/n],Text,ref Code,KW Ids,Keywords,Judicial Topic Ids,Juditial Topics,Index Ids,Index Terms,,Refference,
,,Latin,54,25,5,,,n,"Res per fideicommissum relinqui possunt, quae etiam per damnationem 
legari possunt.",005400250005000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 25, 5",005400250005000000000000,
,,Latin,54,25,6,,,n," Fideicommissa dari possunt his, quibus legari potest.
",005400250006000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 25, 6",005400250006000000000000,
,,Latin,54,25,7,,,n," Latini Iuniani fideicommissum capere possunt, licet legatum capere non 
possint.",005400250007000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 25, 7",005400250007000000000000,
,,Latin,54,25,8,,,n,"Fideicommissum et ante heredis institutionem, et post mortem heredis, et 
codicillis etiam confirmatis testamento dari potest, licet legari non 
possit.",005400250008000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 25, 8",005400250008000000000000,
,,Latin,54,25,9,,,n,"Item Graece fideicommissum scriptum valet, licet legatum Graece scriptum 
non valeat.",005400250009000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 25, 9",005400250009000000000000,
,,Latin,54,25,10,,,n,"Filio, qui in potestate est, servove heredis institutis, seu his legatum 
sit, partis vel domini fidei committi potest, quamvis ab eo legari non 
possit.
",005400250010000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 25, 10",005400250010000000000000,
,,Latin,54,25,11,,,n,"Qui testamento heres institutus est, codicillis etiam non confirmatis 
rogari potest, vel ut hereditatem totam vel ex parte alii restituat, 
quamvis directo heres institui ne quidem confirmatis codicillis possit.",005400250011000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 25, 11",005400250011000000000000,
,,Latin,54,25,12,,,n,"Fideicommissa non per formulam petuntur, ut legata, sed cognitio est 
Romae quidem consulum aut praetoris, qui ""fideicommissarius"" vocatur; in 
provinciis vero praesidum provinciarum.",005400250012000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 25, 12",005400250012000000000000,
,,Latin,54,25,13,,,n,Poenae causa vel incertae personae ne quidem fideicommissa dari possunt.,005400250013000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 25, 13",005400250013000000000000,
,,Latin,54,25,14,,,n,"Is, qui rogatus est, alii restituere hereditatem, lege quidem Falcidia 
locum non habente, quoniam non plus puta quam dodrantem restituere 
rogatus est, ex Trebelliano senatus consulto restituit, ut ei et in eum 
dentur actiones, cui restituta est hereditas. Lege autem Falcidiae 
interveniente, quoniam plus dodrantem vel etiam totam hereditatem 
restituere rogatus sit ex Pegasiano senatus consulto restituit, ut 
deducta parte quarta ipsi, qui scriptus est heres, et in ipsum actiones 
conserventur; is autem, qui recipit hereditatem, legatarii loco habeatur.",005400250014000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 25, 14",005400250014000000000000,
,,Latin,54,25,15,,,n,"Ex Pegasiano senatus consulto restituta hereditate commoda et incommoda 
hereditatis communicantur inter heredem et eum, cui reliquae partes 
restitutae sunt, interpositis stipulationibus ad exemplum partis et pro 
parte stipulationum. ""Partis autem et pro parte stipulationes"" proprie 
dicuntur, quae de lucro et damno communicando solent interponi inter 
heredem et legatarium partiarum, id est, cum quo partitus est heres.",005400250015000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 25, 15",005400250015000000000000,
,,Latin,54,25,16,,,n,"Si heres damnosam hereditatem dicat, cogitur a praetore adire et 
restituere totam, ita ut ei et in eum, qui recipit hereditatem, actiones 
dentur, proinde atque si ex Trebelliano senatus consulto restituta 
fuisset.
",005400250016000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 25, 16",005400250016000000000000,
,,Latin,54,25,17,,,n,"Si quis in fraudem tacitam fidem accommodaverit, non ut capienti 
fideicommissum restituat, nec quadrantem eum deducere senatus censuit, 
nec caducum vindicare ex eo testamento, si liberos habeat.
",005400250017000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 25, 17",005400250017000000000000,
,,Latin,54,25,18,,,n,Libertas dari potest per fideicommissum.,005400250018000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 25, 18",005400250018000000000000,
,,Latin,54,26,1,,,n,"Intestatorum ingenuorum hereditates pertinent primum ad suos heredes, id 
est liberos, qui in potestate sunt, ceterosque, qui in liberorum loco 
sunt; si sui heredes non sunt, ad consanguineos, id est fratres et 
sorores ex eodem patre; si nec hi sunt, ad reliquos agnatos proximos, id 
est cognatos virilis sexus, per mares descendentes, eiusdem familiae: id 
enim cautum est lege duodecim tabularum hac: ""si intestato moritur, cui 
suus heres nec est, agnatus proximus familiam habeto"".",005400260001000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 26, 1",005400260001000000000000,
,,Latin,54,26,2,,,n,"Si defuncti sit filius, ex altero filio, mortuo iam, nepos unus vel 
etiam plures, ad omnes hereditas pertinet, non ut in capita dividatur, 
sed in stirpes, id est, ut filius solus mediam partem habeat et nepotes, 
quotquot sunt, alteram dimidiam: aequum est enim, nepotes in patris sui 
locum succedere et eam partem habere, quam pater eorum, si viveret, 
habiturus esset.",005400260002000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 26, 2",005400260002000000000000,
,,Latin,54,26,3,,,n,"Quamdiu suus heres speratur heres fieri posse, tamdiu locus agnatis non 
est; velut si uxor defuncti praegnans sit, aut filius apud hostes sit.",005400260003000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 26, 3",005400260003000000000000,
,,Latin,54,26,4,,,n,"Agnatorum hereditates dividuntur in capita; velut si sit fratris filius 
et alterius fratris duo pluresve liberi, quotquot sunt ab utraque parte 
personae, tot fiunt portiones, ut singuli singulas capiant.",005400260004000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 26, 4",005400260004000000000000,
,,Latin,54,26,5,,,n,"Si plures eodem gradu sunt agnati, et quidam eorum hereditatem ad se 
pertinere noluerint, vel antequam adierint, decesserint, eorum pars 
adcrescit his, qui adierint; quod si nemo eorum adierit, ad insequentem 
gradum ex lege hereditas non transmittitur, quoniam in legitimis 
hereditatibus successio non est.",005400260005000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 26, 5",005400260005000000000000,
,,Latin,54,26,6,,,n,"Ad feminas ultra consanguineorum gradum legitima hereditas non pertinet; 
itaque soror fratri sororique legitima heres fit.
",005400260006000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 26, 6",005400260006000000000000,
,,Latin,54,26,7,,,n,"Ad liberos matris intestatae hereditas ex lege duodecim tabularum non 
pertinebat, quia feminae suos heredes non habent; sed postea imperatorum 
Antonini et commodi oratione in senatu recitata id actum est, ut sine in 
manum conventione matrum legitimae hereditates ad filios pertineant, 
exclusis consanguineis et reliquis agnatis.",005400260007000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 26, 7",005400260007000000000000,
,,Latin,54,26,8,,,n,"Intestati filii hereditas ad matrem ex lege duodecim tabularum non 
pertinet; sed si ius liberorum habeat, ingenua trium, libertina quattuor, 
legitima heres fit ex senatus consulto Tertulliano, si tamen ei filio 
neque suus heres sit quive inter suos heredes ad bonorum possessionem a 
praetore vocatur, neque pater, ad quem lege hereditas bonorumve possessio 
cum re pertinet, neque frater consanguineus: quod si soror consanguinea 
sit, ad utrasque pertinere iubetur hereditas.",005400260008000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 26, 8",005400260008000000000000,
,,Latin,54,27,1,,,n,"Libertorum intestatorum hereditas primum ad suos heredes pertinet; 
deinde ad eos, quorum liberti sunt, velut patronum, patronam liberosve 
patroni.",005400270001000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 27, 1",005400270001000000000000,
,,Latin,54,27,2,,,n," Si sit patronus et alterius patroni filius, ad solum patronum hereditas 
pertinet.",005400270002000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 27, 2",005400270002000000000000,
,,Latin,54,27,3,,,n,Item patroni filius patroni nepotibus obstat.,005400270003000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 27, 3",005400270003000000000000,
,,Latin,54,27,4,,,n," Ad liberos patronorum hereditas defuncti pertinet ut in capita, non in 
stirpes, dividatur.",005400270004000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 27, 4",005400270004000000000000,
,,Latin,54,27,5,,,n," Legitimae hereditatis ius, quod ex lege duodecim tabularum descendit, 
capitis minutione amittitur.",005400270005000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 27, 5",005400270005000000000000,
,,Latin,54,28,1,,,n,"Bonorum possessio datur aut contra tabulas testamenti, aut secundum 
tabulas, aut intestati.",005400280001000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 28, 1",005400280001000000000000,
,,Latin,54,28,2,,,n,"Contra tabulas bonorum possessio datur, liberis emancipatis testamento 
praeteritis, licet legitimo ad eos pertineat hereditas.
",005400280002000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 28, 2",005400280002000000000000,
,,Latin,54,28,3,,,n,"Bonorum possessio contra tabulas liberis tam naturalibus quam adoptivis 
datur; sed naturalibus quidem emancipatis, non tamen et illis, qui in 
adoptiva familia sunt; adoptivis autem his tantum, qui in potestate 
manserunt.
",005400280003000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 28, 3",005400280003000000000000,
,,Latin,54,28,4,,,n,"Emancipatis liberis ex edicto datur bonorum possessio, si parati sunt 
cavere fratribus suis, qui in potestate manserunt, bona, quae moriente 
patre habuerunt, se conlaturos.",005400280004000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 28, 4",005400280004000000000000,
,,Latin,54,28,5,,,n,"Secundum tabulas bonorum possessio datur scriptis heredibus, scilicet si 
eorum, quibus contra tabulas competit, nemo sit, aut petere nollent.",005400280005000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 28, 5",005400280005000000000000,
,,Latin,54,28,6,,,n,"Etiamsi iure civili non valet testamentum, forte quod familiae 
mancipatio vel nuncupatio defuit, si signatum testamentum sit non minus 
quam septem testium civium Romanorum signis, bonorum possessio datur.",005400280006000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 28, 6",005400280006000000000000,
,,Latin,54,28,7,,,n,"Intestati datur bonorum possessio per septem gradus: primo gradu 
liberis; secundo legitimis heredibus; tertio proximis cognatis; quarto 
familiae patroni; quinto patrono, patronae, item liberis parentibusve 
patroni patronaeve; sexto viro, uxori; septimo cognatis manumissoris, 
quibus per legem Furiam plus mile mille +  asses capere licet: et si nemo 
sit, ad quem bonorum possessio pertinere possit, aut sit quidem, sed ius 
suum omiserit, populo bona deferuntur ex lege Iulia caducaria.",005400280007000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 28, 7",005400280007000000000000,
,,Latin,54,28,8,,,n,"Liberis bonorum possessio datur tam his, qui in potestate usque in 
mortis tempus fuerunt, quam emancipatis; item adoptivis, non tamen etiam 
in adoptionem datis.",005400280008000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 28, 8",005400280008000000000000,
,,Latin,54,28,9,,,n,"Proximi cognati bonorum possessionem accipiunt non solum per feminini 
sexus personam cognati, sed etiam agnati capite diminuti: nam licet 
legitimum ius agnationis capitis minutione amiserint, natura tamen 
cognati manent.",005400280009000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 28, 9",005400280009000000000000,
,,Latin,54,28,10,,,n,"Bonorum possessio datur parentibus et liberis intra annum, ex quo petere 
potuerunt; ceteris intra centum dies.",005400280010000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 28, 10",005400280010000000000000,
,,Latin,54,28,11,,,n,"Qui omnes intra id tempus si non petierint bonorum possessionem, sequens 
gradus admittitur, perinde atque si superiores non essent; idque per 
septem gradus fit.",005400280011000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 28, 11",005400280011000000000000,
,,Latin,54,28,12,,,n,"Hi, quibus ex successorio edicto bonorum possessio datur, heredes quidem 
non sunt, sed heredis loco constituuntur beneficio praetoris. Ideoque seu 
ipsi agant, seu cum his agatur, ficticiis actionibus opus est, in quibus 
heredes esse finguntur.",005400280012000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 28, 12",005400280012000000000000,
,,Latin,54,28,13,,,n,"Bonorum possessio aut cum re datur, aut sine re; cum re, cum is, qui 
accipit, cum effectu bona retineat; sine re, cum alius iure civili 
evincere hereditatem possit; veluti si suus heres intestati bonorum 
possessio sine re, quoniam suus heres evincere hereditatem iure legitimo 
possit.",005400280013000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 28, 13",005400280013000000000000,
,,Latin,54,29,1,,,n,"Civis Romani liberti hereditatem lex duodecim tabularum patrono defert, 
si intestato sine suo herede libertus decesserit: ideoque sive testamento 
facto decedat, licet suus heres ei non sit, seu intestato, et suus heres 
ei sit, quamquam non naturalis, sed uxor puta, quae in manu fuit, vel 
adoptivus filius, lex patrono nihil praestat. Sed ex edicto praetoris, 
seu testato libertus moriatur, ut aut nihil aut minus quam partem 
dimidiam bonorum patrono relinquat, contra tabulas testamenti partis 
dimidiae bonorum possessio illi datur, nisi libertus aliquem ex 
naturalibus liberis successorem sibi relinquat; sive intestato decedat, 
et uxorem forte in manu vel adoptivum filium relinquat, aeque partis 
mediae bonorum possessio contra suos heredes patrono datur.",005400290001000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 29, 1",005400290001000000000000,
,,Latin,54,29,2,,,n,"In bonis libertae patronus nihil iuris ex edicto datur. Itaque .... seu 
intestata moriatur liberta, semper ad eum hereditas pertinet, licet 
liberi sint libertae, quoniam non sunt sui heredes matri, obstit patrono.",005400290002000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 29, 2",005400290002000000000000,
,,Latin,54,29,3,,,n,"Lex Papia Poppaea postea libertas quattuor liberorum iure tutela 
patronorum liberavit; et cum intulerit, iam posse eas sine auctoritate 
patronorum testari, prospexit, ut pro numero liberorum libertae 
superstitum virilis pars patrono debeatur.
",005400290003000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 29, 3",005400290003000000000000,
,,Latin,54,29,4,,,n,"Liberi patroni virilis sexus eadem iura in bonis libertorum parentum 
suorum habent, quae et ipse patronus.
",005400290004000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 29, 4",005400290004000000000000,
,,Latin,54,29,5,,,n,"Feminae vero ex lege quidem duodecim tabularum perinde ius habent, atque 
masculi patronorum liberi; contra tabulas autem testamenti liberti aut ab 
intestato contra suos heredes non naturales bonorum possessio eis non 
competit; sed si ius trium liberorum habuerunt, etiam haec iura ex lege 
Papia Poppaea nanciscuntur.",005400290005000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 29, 5",005400290005000000000000,
,,Latin,54,29,6,,,n," Patronae in bonis libertorum illud ius tantum habebant, quod lex 
duodecim tabularum introduxit; sed postea lex Papia patronae ingenuae 
duobus liberis honoratae, libertinae tribus, id ius dedit, quod patronus 
habet ex edicto.
",005400290006000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 29, 6",005400290006000000000000,
,,Latin,54,29,7,,,n,"Item ingenuae trium liberorum iure honoratae eadem lex id ius dedit, 
quod ipsi patrono tribuit.",005400290007000000000000,NULL,NULL,NULL,NULL,NULL,NULL,"Ulp. 29, 7",005400290007000000000000,
,Paulus,Latin,55,3,4,1,,n,"Testamentum facere possunt masculi post impletum quartum decimum annum, 
feminae post duodecimum.",005500030004000100000000,NULL,NULL,NULL,NULL,NULL,NULL,"Pau. 3, 4a, 1",005500030004000100000000,
,,Latin,55,3,4,2,,n,"Spadones eo tempore testamentum facere possunt, quo plerique pubescunt, 
id est annorum decem et octo.
",005500030004000200000000,NULL,NULL,NULL,NULL,NULL,NULL,"Pau. 3, 4a, 2",005500030004000200000000,
,,Latin,55,3,4,3,,n,"Filius familias, qui militavit, de castrensi peculio tam communi quam 
proprio iure testamentum facere potest. Castrense enim peculium est quod 
in castris adquiritur vel quod proficiscenti ad militiam datur.",005500030004000300000000,NULL,NULL,NULL,NULL,NULL,NULL,"Pau. 3, 4a, 3",005500030004000300000000,
,,Latin,55,3,4,4,,n,"Caecus testamentum facere potest, quia accire potest adhibitos testes et 
audire sibi testimonium perhibentes.",005500030004000400000000,NULL,NULL,NULL,NULL,NULL,NULL,"Pau. 3, 4a, 4",005500030004000400000000,
,,Latin,55,3,4,5,,n,"Qui manus amisit, testamentum facere potest, quamvis scribere non 
possit.",005500030004000500000000,NULL,NULL,NULL,NULL,NULL,NULL,"Pau. 3, 4a, 5",005500030004000500000000,
,,Latin,55,3,4,6,,n,Furiosus tempore intermissi furoris testamentum facere potest.,005500030004000600000000,NULL,NULL,NULL,NULL,NULL,NULL,"Pau. 3, 4a, 6",005500030004000600000000,
,,Latin,55,3,4,7,,n,"Et mulieri, quae luxuriose vivit, bonis interdici potest.",005500030004000700000000,NULL,NULL,NULL,NULL,NULL,NULL,"Pau. 3, 4a, 7",005500030004000700000000,
